file_name	url	most_common_town	most_mentioned_year	most_common_state	has_climate	has_community	total_words	total_pages	first100words	flood_count	storm_count	heat_count	air_pollution_count	indoor_air_quality_count	chemical_hazards_count	extreme_precipitation_count	fire_count	flood_percent	storm_percent	heat_percent	air_pollution_percent	indoor_air_quality_percent	chemical_hazards_percent	extreme_precipitation_percent	fire_percent	workshop_count	mapping_count	survey_count	conversation_count	community_meeting_count	small_group_discussion_count	inform_count	workshop_percent	mapping_percent	survey_percent	conversation_percent	community_meeting_percent	small_group_discussion_percent	inform_percent	town_name	towns_to_scrub	is_ACRES_town	is_INNER_CORE	is_MASS	duplicated	pass_checks2	Manual.Check	Checked.by	Manual.Check.11.19	REASON	Manual.Check_9.10	pass_checks3	pass_checks4
chelseaurl21.json	https://cdn.branchcms.com/GB7r14nbKy-1182/docs/Revere-MVP-Summary-of-Findings-Report_FINAL.pdf	revere	2019	massachusetts	1	1	16534	88	City of Revere, Massachusetts Municipal Vulnerability Preparedness Summary of Findings Report June 	149	108	15	2	0	0	11	12	50.168	36.364	5.051	0.673	0	0	3.704	4.04	107	0	11	0	4	24	0	73.288	0	7.534	0	2.74	16.438	0	CHELSEA	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
chelseaurl3.json	https://www.mass.gov/files/documents/2018/10/19/2017-2018-mvp-planning-grant-report-chelsea.pdf	chelsea	2018	massachusetts	1	1	6009	39	City of Chelsea Community Resilience Building Summary of Findings May 19, 2018 1ACKNOWLEDGEMENTS Th	87	51	18	4	2	0	4	0	52.41	30.723	10.843	2.41	1.205	0	2.41	0	35	0	19	0	15	0	4	47.945	0	26.027	0	20.548	0	5.479	CHELSEA	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
chelseaurl25.json	https://www3.epa.gov/region1/npdes/chelseacreekfuelterminals/pdfs/2022/2022-crbpsf-rtc.pdf	chelsea	2022	massachusetts	1	1	162822	311	NPDES Permit #MA0003280, #MA0000825 2022 Response to Comments #MA0001091, #MA0001929, and #MA000400	493	977	0	19	1	29	47	4	31.401	62.229	0	1.21	0.064	1.847	2.994	0.255	2	0	545	0	38	2	1	0.34	0	92.687	0	6.463	0.34	0.17	CHELSEA	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
chelseaurl42.json	https://www.njit.edu/tab/sites/njit.edu.tab/files/Chelsea-MA%20CWA.pdf	chelsea	2024	massachusetts	1	1	8490	14	CITY OF CHELSEA, MA Department of Housing and Community Development City Hall, 500 Broadway, Room 1	23	10	1	6	2	0	1	0	53.488	23.256	2.326	13.953	4.651	0	2.326	0	0	0	6	0	19	0	2	0	0	22.222	0	70.37	0	7.407	CHELSEA	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
chelseaurl45.json	https://www.challiance.org/file%20library/about%20cha/community%20health%20improvement/community%20health%20data%20and%20reports/2022-cha-regional-wellbeing-report-chna.pdf	somerville	2020	massachusetts	1	1	39032	153	Table of Contents Executive Summary 4 How to Navigate this Report 5 Background 6 What is the Wellbe	5	4	2	4	3	0	1	0	26.316	21.053	10.526	21.053	15.789	0	5.263	0	2	0	236	56	7	1	2	0.658	0	77.632	18.421	2.303	0.329	0.658	CHELSEA	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
chelseaurl50.json	https://budget.digital.mass.gov/capital/fy23/static/fy23capitalplanma-3f7b42a5ac939e68a2221c638f4e9017.pdf	boston	2023	massachusetts	1	1	19763	57	Commonwealth of Massachusetts Fiscal Years 2023–2027 Five-Year Capital Investment Plan May 5, 2022 	8	11	0	2	9	0	1	0	25.806	35.484	0	6.452	29.032	0	3.226	0	0	0	3	0	0	0	0	0	0	100	0	0	0	0	CHELSEA	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
chelseaurl5.json	https://www.mapc.org/wp-content/uploads/2018/07/FINAL.Designing-Parks-and-Playgrounds-as-Green-Infrastructure.Chelsea.6.29.18.pdf	chelsea	2018	massachusetts	1	1	16375	81	Designing Parks and Playgrounds as Green Infrastructure for Stormwater and Climate Resilience Desig	92	178	13	4	0	7	3	0	30.976	59.933	4.377	1.347	0	2.357	1.01	0	1	0	9	0	1	0	0	9.091	0	81.818	0	9.091	0	0	CHELSEA	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
chelseaurl61.json	https://climateintegrity.org/uploads/media/EverettMassComplaint.pdf	everett	2016	massachusetts	1	1	17971	70	Case 1:16-cv-11950-MLW Document 1 Filed 09/29/16 Page 1 of 70 UNITED STATES DISTRICT COURT FOR THE 	113	111	8	1	0	3	6	3	46.122	45.306	3.265	0.408	0	1.224	2.449	1.224	0	0	73	0	0	0	0	0	0	100	0	0	0	0	CHELSEA	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	INCLDE		INCLUDE		INCLDE	TRUE	TRUE
chelseaurl65.json	https://static1.squarespace.com/static/57ac44ebb3db2b4ff1e21ced/t/61bb43cee87b3c39cf1d712c/1639662549281/Final+PDF_DEC+15_JW+Corrections.pdf	chelsea	2020	massachusetts	1	1	42891	104	A Report from GreenRoots // October 2021 COVID-19 in Chelsea: A Glance Into One of the Hardest Hit 	1	8	24	83	11	2	0	1	0.769	6.154	18.462	63.846	8.462	1.538	0	0.769	8	0	136	1	5	4	3	5.096	0	86.624	0.637	3.185	2.548	1.911	CHELSEA	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
chelseaurl70.json	https://www.cityofboston.gov/images_documents/Preparing%20for%20Heat%20Waves%20in%20Boston_tcm3-31986.pdf	boston	2010	massachusetts	1	1	29093	121	PREPARING FOR HEAT WAVES IN BOSTON A C O O L WAY T O AT TA C K G L O B A L WA R M I N G Michael Adl	5	15	418	17	0	1	3	0	1.089	3.268	91.068	3.704	0	0.218	0.654	0	0	0	35	36	11	0	1	0	0	42.169	43.373	13.253	0	1.205	CHELSEA	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
everetturl7.json	https://www.challiance.org/file%20library/about%20cha/community%20health%20improvement/community%20health%20data%20and%20reports/2022%20cha%20wellbeing%20report%20translations%20(files)/2022-cha-regional-wellbeing-report-chna-executive-summary.pdf	somerville	2022	massachusetts	1	1	4247	15	Executive Summary The Cambridge Health Alliance (CHA) is pleased to present the 2022 CHA Regional W	0	0	0	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	18	10	2	0	0	0	0	60	33.333	6.667	0	0	EVERETT	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
everetturl78.json	https://www.bostonmpo.org/data/pdf/plans/UPWP/FFY-2024-UPWP.pdf	boston	2024	massachusetts	1	1	63240	285	UNIFIED PLANNING WORK PROGRAM FFY 2024 BO S TON REGI O N MPO M N E O TR O POLITAN PLANNING ORGANIZA	14	5	2	95	5	0	7	0	10.938	3.906	1.562	74.219	3.906	0	5.469	0	33	0	69	13	48	0	0	20.245	0	42.331	7.975	29.448	0	0	EVERETT	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
lynnurl40.json	http://www.lynnunited.org/files/gearworks_-_Lynn_FEIR_3-10-17_CD.pdf	lynn	2016	massachusetts	1	1	64386	196	Lynn Gear Works Redevelopment Final Environmental Impact Report EEA #15441 ProPonent PrePared by Ly	177	193	1	63	17	10	4	0	38.065	41.505	0.215	13.548	3.656	2.151	0.86	0	0	0	57	0	2	0	0	0	0	96.61	0	3.39	0	0	LYNN	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	NA	NC	INCLUDE	Climate imacts of built environment planning	NA	TRUE	TRUE
lynnurl58.json	https://www.mass.gov/doc/lynn-report/download	lynn	2019	massachusetts	1	1	20583	143	City of Lynn Community Resilience Building Workshop Summary of Findings June 2019 westonandsampson.	226	154	31	0	0	0	26	9	50.673	34.529	6.951	0	0	0	5.83	2.018	102	1	6	1	20	16	1	69.388	0.68	4.082	0.68	13.605	10.884	0.68	LYNN	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE
maldenurl25.json	https://secondnature.org/wp-content/uploads/Tufts-Summary-of-Findings.pdf	medford	2018	massachusetts	1	1	6867	35	Tufts University Community Resilience-Building Workshop Summary of Findings Medford/Somerville Camp	29	73	6	0	10	1	10	2	22.137	55.725	4.58	0	7.634	0.763	7.634	1.527	30	2	0	0	8	1	0	73.171	4.878	0	0	19.512	2.439	0	MALDEN	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
maldenurl4.json	https://www.mapc.org/wp-content/uploads/2019/07/FINAL_MedfordOSRP-Resilience.5.5.2019.pdf	medford	2019	massachusetts	1	1	17037	109	Medford Parks and Open Space for Climate Resilience May 2019 1 City of Medford Parks and Open Space	143	181	61	10	0	0	6	3	35.396	44.802	15.099	2.475	0	0	1.485	0.743	0	0	9	0	4	0	1	0	0	64.286	0	28.571	0	7.143	MALDEN	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
maldenurl7.json	https://cms5.revize.com/revize/chelseama/Document_Center/Departments/Housing%20&%20Community%20Development/Environment%20and%20Climate%20Resilience/North%20Suffolk%20Office%20of%20Resilience%20and%20Sustainability/nsors-annualreport-cy2021_1.pdf	chelsea	2022	massachusetts	1	1	5571	21	Annual Report 2021 Chelsea City Hall, Room 101 500 Broadway, Chelsea, MA 02150THIS PAGE IS LEFT INT	38	9	5	7	0	0	2	0	62.295	14.754	8.197	11.475	0	0	3.279	0	6	0	5	0	2	0	0	46.154	0	38.462	0	15.385	0	0	MALDEN	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
maldenurl64.json	https://www.mass.gov/doc/malden-report/download	malden	2020	massachusetts	1	1	16189	171	CITY OF MALDEN COMMUNITY RESILIENCE BUILDING WORKSHOP SUMMARY OF FINDINGS REPORT April 23, 2020 Fil	161	110	8	7	0	0	21	4	51.768	35.37	2.572	2.251	0	0	6.752	1.286	159	0	3	0	7	21	0	83.684	0	1.579	0	3.684	11.053	0	MALDEN	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE
maldenurl63.json	https://www.cityofmalden.org/DocumentCenter/View/9016/Malden-Climate-Action-Plan?bidId=	malden	2023	massachusetts	1	1	16648	95	Malden Climate Action Plan September 2024 Malden CAP 1Table of Contents Letter from the Mayor  .  .	81	26	25	22	5	1	11	2	46.821	15.029	14.451	12.717	2.89	0.578	6.358	1.156	12	0	9	9	16	0	0	26.087	0	19.565	19.565	34.783	0	0	MALDEN	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE
medfordurl2.json	https://www.boston.gov/sites/default/files/embed/c/climatereadyeastbostoncharlestown_executivesummary_web.pdf	boston	2017	massachusetts	1	1	6724	24	COASTAL RESILIENCE SOLUTIONS FOR EAST BOSTON AND CHARLESTOWN EXECUTIVE SUMMARY October 2017 MASSACH	230	3	2	0	0	0	8	0	94.65	1.235	0.823	0	0	0	3.292	0	0	0	1	0	0	0	0	0	0	100	0	0	0	0	MEDFORD	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
medfordurl17.json	https://s3.amazonaws.com/somervillema-live/s3fs-public/somerville-climate-forward-plan.pdf	somerville	2018	massachusetts	1	1	50186	150	CITY OF SOMERVILLE OFFICE OF SUSTAINABILTY & ENVIRONMENT SOMERVILLE CLIMATE FORWARD MAYOR JOSEPH A.	196	222	51	104	5	16	9	0	32.504	36.816	8.458	17.247	0.829	2.653	1.493	0	13	0	21	4	40	0	1	16.456	0	26.582	5.063	50.633	0	1.266	MEDFORD	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
medfordurl5.json	https://resources.finalsite.net/images/v1678904700/medfordmaorg/p4mcr7m8xq7wb5fynbi1/Medford_CAAP_ExecutiveSummary-003.pdf	medford	2018	massachusetts	1	1	4046	36	T T CITY OF EXECUTIVE SUMMARY DRAFT - SEPT 2021EXECUTIVE SUMMARY 2Executive Summary The Climate Act	22	19	5	0	0	0	4	1	43.137	37.255	9.804	0	0	0	7.843	1.961	0	1	7	0	1	0	0	0	11.111	77.778	0	11.111	0	0	MEDFORD	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
melroseurl25.json	https://www.saugus-ma.gov/sites/g/files/vyhlif1181/f/uploads/saugus_master_plan-2022final.pdf	saugus	2019	massachusetts	1	1	78464	301	Saugus United 2035 Master PlanAcknowledgments Town of Saugus Saugus United reflects significant wor	123	70	25	29	11	3	14	0	44.727	25.455	9.091	10.545	4	1.091	5.091	0	22	0	76	37	55	1	2	11.399	0	39.378	19.171	28.497	0.518	1.036	MELROSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE		NC	INCLUDE			TRUE	TRUE
melroseurl27.json	https://www.cityofboston.gov/images_documents/Boston%20Hazard%20Mitigation%20Plan%202008_tcm3-31971.pdf	boston	2005	massachusetts	1	1	23347	114	BOSTON ANNEX March, 2008ACKNOWLEDGEMENTS AND CREDITS This plan was prepared for the City of Boston 	212	257	0	0	5	1	2	5	43.983	53.32	0	0	1.037	0.207	0.415	1.037	0	0	7	1	10	0	0	0	0	38.889	5.556	55.556	0	0	MELROSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
