Checked by|Manual Check 11.19|REASON|pass_checks2|Manual.Check_9.10|most_common_town|file_name
|NA||FALSE|NA|brookline|brooklineurl46.json
|NA||FALSE|NA|greenfield|brooklineurl48.json
|NA||FALSE|NA|oxford|brooklineurl49.json
NC|INCLUDE||TRUE|NA|cambridge|brooklineurl5.json
|NA||FALSE|NA|monroe|brooklineurl50.json
NC|EXCLUDE||TRUE|NA|boston|brooklineurl53.json
|NA||FALSE|NA|boston|brooklineurl54.json
|NA||FALSE|NA|boston|brooklineurl51.json
|NA||FALSE|NA|cambridge|brooklineurl56.json
|NA||FALSE|NA|boston|brooklineurl55.json
|NA||FALSE|NA|washington|brooklineurl58.json
|NA||FALSE|NA|boston|brooklineurl61.json
NC|EXCLUDE|All MA|TRUE|NA|boston|brooklineurl6.json
|NA||FALSE|NA|wellesley|brooklineurl57.json
|NA||FALSE|NA|peru|brooklineurl60.json
|NA||FALSE|NA|worcester|brooklineurl59.json
NC|EXCLUDE||TRUE|NA|boston|brooklineurl66.json
NC|EXCLUDE||TRUE|NA|cambridge|brooklineurl65.json
|NA||FALSE|NA|harvard|brooklineurl67.json
|NA||FALSE|NA|washington|brooklineurl62.json
|NA||FALSE|NA|washington|brooklineurl63.json
NC|INCLUDE||TRUE|INCLUDE|everett|burlingtonurl13.json
|||FALSE||washington|burlingtonurl12.json
|NA||FALSE|NA|boston|brooklineurl7.json
|||FALSE||springfield|burlingtonurl11.json
|EXCLUDE||FALSE|EXCLUDE|barre|burlingtonurl14.json
|||FALSE||burlington|burlingtonurl1.json
NC|INCLUDE||TRUE|NA|somerville|brooklineurl8.json
|NA||FALSE|NA|boston|brooklineurl9.json
|||FALSE||washington|burlingtonurl16.json
|||FALSE||burlington|burlingtonurl15.json
|||FALSE||beverly|burlingtonurl17.json
|INCLUDE||FALSE|INCLUDE|everett|burlingtonurl18.json
|||FALSE||washington|burlingtonurl21.json
|||FALSE||barnstable|burlingtonurl19.json
NC|EXCLUDE||TRUE|EXCLUDE|burlington|burlingtonurl20.json
|||FALSE||washington|burlingtonurl23.json
|||FALSE||florida|burlingtonurl28.json
|EXCLUDE||FALSE|EXCLUDE|boston|burlingtonurl22.json
|||FALSE||burlington|burlingtonurl2.json
|||FALSE||auburn|burlingtonurl26.json
|||FALSE||washington|burlingtonurl24.json
