Checked by|Manual Check|REASON|pass_checks2|duplicated|file_name
CM|INCLUDE||TRUE|TRUE|bostonurl38.json
CM|EXCLUDE|Not Massachusetts|FALSE|TRUE|bostonurl39.json
CM|INCLUDE||TRUE|TRUE|bostonurl4.json
NC|INCLUDE||TRUE|FALSE|bostonurl40.json
CM|EXCLUDE|Not town-specific|TRUE|TRUE|bostonurl41.json
CM|EXCLUDE|Not Massachusetts|FALSE|FALSE|bostonurl42.json
NC|INCLUDE||TRUE|FALSE|bostonurl43.json
|||FALSE|FALSE|bostonurl44.json
CM|EXCLUDE|Industry|TRUE|FALSE|bostonurl45.json
CM|EXCLUDE|Not town-specific|FALSE|FALSE|bostonurl46.json
CM|EXCLUDE|Not town-specific|TRUE|FALSE|bostonurl47.json
NC|INCLUDE||TRUE|FALSE|bostonurl48.json
|||FALSE|FALSE|bostonurl49.json
CM|EXCLUDE|Good, but not town specific|TRUE|FALSE|bostonurl5.json
|||FALSE|FALSE|bostonurl50.json
|||FALSE|FALSE|bostonurl51.json
NC|INCLUDE||TRUE|TRUE|bostonurl52.json
CM|EXCLUDE|Industry|TRUE|FALSE|bostonurl53.json
CM|INCLUDE||TRUE|FALSE|bostonurl55.json
CM|EXCLUDE|Off-topic|TRUE|FALSE|bostonurl56.json
NC|EXCLUDE|Not ACRES town|TRUE|FALSE|bostonurl57.json
NC|INCLUDE||TRUE|TRUE|bostonurl59.json
NC|INCLUDE||TRUE|TRUE|bostonurl6.json
NC|EXCLUDE|Not ACRES town (Logan airport)|TRUE|FALSE|bostonurl60.json
|||FALSE|FALSE|bostonurl62.json
|||FALSE|FALSE|bostonurl63.json
|||FALSE|FALSE|bostonurl64.json
CM|EXCLUDE|Not Massachusetts|FALSE|FALSE|bostonurl65.json
|||FALSE|TRUE|bostonurl66.json
CM|INCLUDE||TRUE|FALSE|bostonurl67.json
CM|EXCLUDE|Off-topic|TRUE|FALSE|bostonurl68.json
CM|INCLUDE||FALSE|TRUE|bostonurl69.json
CM|EXCLUDE|Industry|TRUE|FALSE|bostonurl7.json
CM|EXCLUDE|Not town-specific|FALSE|FALSE|bostonurl70.json
|||FALSE|FALSE|bostonurl71.json
CM|INCLUDE||TRUE|FALSE|bostonurl72.json
|||FALSE|FALSE|bostonurl73.json
CM|EXCLUDE|State-wide, not towns|TRUE|FALSE|bostonurl74.json
CM|EXCLUDE|Industry|FALSE|FALSE|bostonurl75.json
|||FALSE|FALSE|bostonurl76.json
CM|EXCLUDE|Not ACRES|FALSE|FALSE|bostonurl77.json
NC|EXCLUDE|Off-topic|TRUE|TRUE|bostonurl78.json
|||FALSE|FALSE|bostonurl79.json
CM|EXCLUDE|Not town-specific|FALSE|FALSE|bostonurl8.json
|||FALSE|FALSE|bostonurl80.json
|||FALSE|FALSE|bostonurl81.json
NC|EXCLUDE|Off-topic|TRUE|FALSE|bostonurl82.json
NC|EXCLUDE|Off-topic|TRUE|FALSE|bostonurl83.json
CM|EXCLUDE|Off-topic|TRUE|FALSE|bostonurl84.json
CM|EXCLUDE|Off-topic|FALSE|FALSE|bostonurl85.json
CM|INCLUDE||TRUE|FALSE|bostonurl86.json
CM|EXCLUDE|Off-topic|TRUE|FALSE|bostonurl87.json
CM|EXCLUDE|Off-topic|FALSE|FALSE|bostonurl88.json
|||FALSE|FALSE|bostonurl89.json
NC|INCLUDE||TRUE|FALSE|bostonurl9.json
|||FALSE|FALSE|burlingtonurl1.json
|||FALSE|TRUE|burlingtonurl11.json
|||FALSE|FALSE|burlingtonurl12.json
NC|INCLUDE||TRUE|FALSE|burlingtonurl13.json
NC|EXCLUDE|Not ACRES town|FALSE|FALSE|burlingtonurl14.json
|||FALSE|FALSE|burlingtonurl15.json
|||FALSE|TRUE|burlingtonurl16.json
|||FALSE|TRUE|burlingtonurl17.json
NC|INCLUDE||TRUE|TRUE|burlingtonurl18.json
|||FALSE|FALSE|burlingtonurl19.json
|||FALSE|FALSE|burlingtonurl2.json
NC|EXCLUDE|Not ACRES town|TRUE|FALSE|burlingtonurl20.json
|||FALSE|FALSE|burlingtonurl21.json
NC|EXCLUDE|Not ACRES town (all East Coast)|TRUE|TRUE|burlingtonurl22.json
|||FALSE|FALSE|burlingtonurl23.json
|||FALSE|FALSE|burlingtonurl24.json
|||FALSE|FALSE|burlingtonurl26.json
|||FALSE|FALSE|burlingtonurl27.json
|||FALSE|FALSE|burlingtonurl28.json
|||FALSE|TRUE|burlingtonurl29.json
NC|EXCLUDE|Not ACRES town|TRUE|TRUE|burlingtonurl3.json
|||FALSE|TRUE|burlingtonurl30.json
