file_name|most_common_town|is_INNER_CORE|is_ACRES_town|duplicated|is_MASS|has_climate|has_community
belmonturl44.json|dalton|FALSE|FALSE|FALSE|FALSE|1|1
belmonturl45.json|gill|FALSE|FALSE|FALSE|FALSE|1|1
belmonturl46.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
belmonturl47.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
belmonturl48.json|belmont|TRUE|TRUE|FALSE|FALSE|1|1
belmonturl49.json|washington|FALSE|FALSE|FALSE|FALSE|1|1
belmonturl5.json|duxbury|FALSE|FALSE|FALSE|TRUE|1|1
belmonturl50.json|bourne|FALSE|FALSE|TRUE|TRUE|1|1
belmonturl51.json|richmond|FALSE|FALSE|FALSE|FALSE|1|1
belmonturl52.json|east bridgewater|FALSE|FALSE|FALSE|FALSE|1|1
belmonturl53.json|washington|FALSE|FALSE|FALSE|FALSE|0|0
belmonturl54.json|cambridge|TRUE|TRUE|FALSE|FALSE|1|1
belmonturl55.json|washington|FALSE|FALSE|FALSE|FALSE|1|1
belmonturl56.json|norwood|FALSE|FALSE|FALSE|TRUE|1|1
belmonturl57.json|washington|FALSE|FALSE|FALSE|FALSE|1|1
belmonturl58.json|hudson|FALSE|FALSE|FALSE|FALSE|1|1
belmonturl59.json|boston|TRUE|FALSE|FALSE|TRUE|0|0
belmonturl6.json|worcester|FALSE|FALSE|FALSE|TRUE|1|1
belmonturl61.json|salisbury|FALSE|FALSE|FALSE|TRUE|1|0
belmonturl62.json|blackstone|FALSE|FALSE|FALSE|TRUE|1|1
belmonturl63.json|richmond|FALSE|FALSE|FALSE|FALSE|1|1
belmonturl64.json|orleans|FALSE|FALSE|FALSE|FALSE|1|1
belmonturl65.json|cambridge|TRUE|TRUE|FALSE|TRUE|1|1
belmonturl66.json|boston|TRUE|FALSE|FALSE|FALSE|1|1
belmonturl67.json|princeton|FALSE|FALSE|FALSE|FALSE|1|1
belmonturl68.json|orange|FALSE|FALSE|FALSE|FALSE|1|1
belmonturl69.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
belmonturl7.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
belmonturl70.json|washington|FALSE|FALSE|TRUE|FALSE|1|1
belmonturl72.json|washington|FALSE|FALSE|FALSE|FALSE|1|1
belmonturl74.json|weston|FALSE|FALSE|FALSE|TRUE|1|1
belmonturl75.json|princeton|FALSE|FALSE|FALSE|FALSE|1|1
belmonturl76.json|florida|FALSE|FALSE|FALSE|TRUE|1|1
belmonturl77.json|granville|FALSE|FALSE|FALSE|FALSE|1|1
belmonturl78.json|washington|FALSE|FALSE|FALSE|FALSE|1|1
belmonturl79.json|boston|TRUE|FALSE|FALSE|FALSE|1|1
belmonturl8.json|boston|TRUE|FALSE|TRUE|TRUE|1|1
belmonturl80.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
belmonturl81.json|milford|FALSE|FALSE|FALSE|FALSE|1|1
belmonturl82.json|belmont|TRUE|TRUE|FALSE|TRUE|0|1
belmonturl83.json|cambridge|TRUE|TRUE|FALSE|FALSE|1|1
belmonturl84.json|cambridge|TRUE|TRUE|FALSE|FALSE|1|1
belmonturl9.json|weston|FALSE|FALSE|FALSE|TRUE|1|1
bostonurl1.json|boston|TRUE|FALSE|FALSE|FALSE|1|1
bostonurl10.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl11.json|boston|TRUE|FALSE|FALSE|FALSE|1|1
bostonurl12.json|cambridge|TRUE|TRUE|FALSE|TRUE|1|1
bostonurl13.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl14.json|boston|TRUE|FALSE|FALSE|TRUE|0|1
bostonurl15.json|somerville|TRUE|TRUE|TRUE|FALSE|1|1
bostonurl16.json|boston|TRUE|FALSE|FALSE|FALSE|1|1
bostonurl17.json|concord|FALSE|FALSE|FALSE|TRUE|1|1
bostonurl18.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl19.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl2.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl20.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl21.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl22.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl23.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl24.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl25.json|boston|TRUE|FALSE|TRUE|TRUE|1|1
